Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,console
Ace Combat 5: The Unsung War,10/25/2004,Project Aces,Namco,Aircraft Combat Sim,Rated T For Teen,9,127,PlayStation 2
Ace Combat 6: Fires of Liberation,10/23/2007,Project Aces,Namco Bandai Games,Aircraft Combat Sim,Rated T For Teen,7.4,72,Xbox 360
Ace Combat 7: Skies Unknown,1/18/2019,Project Aces,Bandai Namco Games,Aircraft Combat Sim,Rated T For Teen,7.9,428,PlayStation 4
Ace Combat Advance,2/23/2005,Human Soft,Namco,Top-Down Shoot-'Em-Up,Rated E For Everyone,,,Game Boy Advance
Ace Combat Assault Horizon: Enhanced Edition,1/24/2013,QLOC,Namco Bandai Games,Aircraft Combat Sim,Rated T For Teen,5.9,191,PC
Ace Combat Infinity,5/27/2014,Project Aces,Namco Bandai Games,Aircraft Combat Sim,Rated T For Teen,5.7,69,PlayStation 3
Ace Combat X: Skies of Deception,10/23/2006,Project Aces,Namco Bandai Games,Aircraft Combat Sim,Rated T For Teen,8,36,PSP
Ace Combat Xi: Skies of Incursion,2009-03-12,Project Aces,Namco Networks America,Aircraft Combat Sim,,,,iOS (iPhone)
Ace Combat Zero: The Belkan War,4/25/2006,Project Aces,Namco,Aircraft Combat Sim,Rated T For Teen,8.9,53,PlayStation 2
Ace Combat: Assault Horizon,2011-11-10,Project Aces,Namco Bandai Games,Aircraft Combat Sim,Rated T For Teen,6.1,95,Xbox 360
Ace Combat: Assault Horizon Legacy,11/15/2011,Project Aces,Namco Bandai Games,Aircraft Combat Sim,Rated T For Teen,7.4,31,3DS
Ace Combat: Assault Horizon Legacy+,2015-10-02,Project Aces,Bandai Namco Games,Aircraft Combat Sim,Rated T For Teen,5.9,17,3DS
Ace Combat: Joint Assault,8/31/2010,Project Aces,Namco Bandai Games,Aircraft Combat Sim,Rated T For Teen,7.1,23,PSP
Ace of Spades: Battle Builder,2012-12-12,Jagex Games Studio,Jagex Games Studio,Action,,5.2,498,PC
Aces of the Galaxy,2008-04-06,Artech Studios,Sierra Online,Third Person Shooter,Rated E +10 For Everyone +10,5.8,8,Xbox 360
Aces of the Luftwaffe: Squadron,11/17/2017,HandyGames,HandyGames,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.6,10,Nintendo Switch
Achilles: Legends Untold,2023-02-11,Dark Point Games,Dark Point Games,Action RPG,Rated T For Teen,6.4,15,PC
Achron,8/29/2011,Hazardous Software,Hazardous Software,Real-Time Strategy,,7.3,19,PC
ACORN Tactics,2017-07-12,TACS Games,TACS Games,Turn-Based Tactics,Rated E +10 For Everyone +10,,,Nintendo Switch
Across Age,2010-11-02,FDG Entertainment,FDG Entertainment,Action RPG,,,,iOS (iPhone)
Across Age 2,1/16/2014,FDG Entertainment,FDG Entertainment,RPG,,,,iOS (iPhone)
Act of Aggression,2015-02-09,Eugen Systems,Focus Home Interactive,Real-Time Strategy,,7.1,98,PC
Act of War: Direct Action,3/15/2005,Eugen Systems,Atari SA,Real-Time Strategy,Rated T For Teen,8.1,49,PC
Act of War: High Treason,5/30/2006,Eugen Systems,Atari SA,Real-Time Strategy,Rated T For Teen,6.7,21,PC
Action Bass,7/14/2000,Vingt-et-un Systems,Take-Two Interactive,Fishing,Rated E For Everyone,,,PlayStation
Action Henk,2016-04-03,RageSquid,RageSquid,2D Platformer,Rated E For Everyone,,,PC
Active Life: Extreme Challenge,2009-11-08,TOSE,Namco Bandai Games,Sports,Rated E For Everyone,,,Wii
Active Soccer 2 DX,3/30/2016,The Fox Software,The Fox Software,Soccer,Rated E For Everyone,6.9,15,iOS (iPhone)
Activision Anthology,11/19/2002,Contraband Entertainment,Activision,Compilation,Rated E For Everyone,7.3,7,PlayStation 2
Activision Hits Remixed,2006-08-11,Digital Eclipse,Activision,Compilation,Rated E For Everyone,6.6,9,PSP
ActRaiser Renaissance,9/23/2021,Sonic Powered,Square Enix,Action Adventure,Rated E +10 For Everyone +10,7.8,26,Nintendo Switch
Actual Sunlight,2015-11-08,WZO Games,WZO Games,Adventure,Rated M For Mature,6.3,32,PC
Ad Infinitum,9/14/2023,Hekate,Nacon,Survival,Rated M For Mature,5.5,11,PC
Adam's Venture Chronicles,2014-04-02,Vertigo Games,Playlogic,Action,Rated E For Everyone,5.7,9,PlayStation 3
Adam's Venture: Origins,2016-01-04,Engine Software,Soedesco,Linear Action Adventure,Rated E For Everyone,5.3,46,PC
Adios,3/16/2021,Mischief,Mischief,First-Person Adventure,,6.3,45,PC
Adore,2023-03-08,Cadabra Games,QUByte Interactive,Trainer RPG,Rated E +10 For Everyone +10,,,PC
ADR1FT,3/28/2016,Three One Zero,505 Games,Survival,Rated T For Teen,5.4,58,PC
Adrenalin Misfits,2010-04-11,Konami,Konami,Skiing,Rated E For Everyone,8.3,,Xbox 360
Advance Guardian Heroes,9/14/2004,Treasure,Ubisoft,2D Beat-'Em-Up,Rated E For Everyone,,,Game Boy Advance
Advance Wars,2001-09-09,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated E For Everyone,8.7,147,Game Boy Advance
Advance Wars 1 + 2: Re-Boot Camp,4/21/2023,WayForward,Nintendo,Turn-Based Tactics,,8.1,126,Nintendo Switch
Advance Wars 2: Black Hole Rising,6/24/2003,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated E For Everyone,8.2,86,Game Boy Advance
Advance Wars: Days of Ruin,1/21/2008,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated E +10 For Everyone +10,8.4,87,DS
Advance Wars: Dual Strike,8/22/2005,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated E For Everyone,8.5,136,DS
Advent Rising,5/31/2005,GlyphX Games,Majesco,Action Adventure,Rated T For Teen,8,9,PC
Adventure Bar Story,2012-08-03,RideonJapan,RideonJapan,JRPG,,,,iOS (iPhone)
Adventure Island: The Beginning,5/25/2009,Hudson,Hudson Entertainment,2D Platformer,Rated E For Everyone,,,Wii
Adventure Pinball: Forgotten Island,3/21/2001,Digital Extremes,Electronic Arts,Pinball,Rated E For Everyone,7.3,7,PC
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,11/19/2013,WayForward,D3Publisher,Action Adventure,Rated E +10 For Everyone +10,4,20,Xbox 360
Adventure Time: Finn & Jake Investigations,10/20/2015,Vicious Cycle,Little Orbit,Third-Person Adventure,Rated E +10 For Everyone +10,6,13,Wii U
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,11/13/2012,WayForward,D3Publisher,Open-World Action,Rated E +10 For Everyone +10,7.2,67,DS
Adventure Time: Pirates of the Enchiridion,7/17/2018,Climax Studios,Outright Games,JRPG,Rated E +10 For Everyone +10,6.3,36,Xbox One
Adventures of Mana,6/28/2016,MCF,Square Enix,Action RPG,Rated E +10 For Everyone +10,8.1,25,PlayStation Vita
Adventures to Go!,10/27/2009,Global A,Natsume,RPG,Rated E +10 For Everyone +10,7.3,10,PSP
Aedis Eclipse: Generation of Chaos,4/24/2007,Idea Factory,NIS America,Turn-Based Strategy,Rated E +10 For Everyone +10,5.7,9,PSP
Aegis Defenders,2018-08-02,GUTS Department,Humble Games,Action RPG,Rated E +10 For Everyone +10,7.1,25,PC
Aegis of Earth: Protonovus Assault,3/15/2016,Acquire,Aksys Games,Defense,Rated T For Teen,6.5,12,PlayStation Vita
Aegis Wing,5/16/2007,Carbonated Games,Microsoft Game Studios,Horizontal Shoot-'Em-Up,Rated E For Everyone,6.4,26,Xbox 360
Aeon Flux,11/17/2005,Terminal Reality,Majesco,Action Adventure,Rated T For Teen,,,PlayStation 2
AER: Memories of Old,10/25/2017,Forgotten Key,Daedalic Entertainment,Open-World Action,Rated E +10 For Everyone +10,6.5,69,PlayStation 4
AereA,6/30/2017,Triangle Studios,Soedesco,Action RPG,Rated E +10 For Everyone +10,4.5,16,PC
Aerial Strike: The Yager Missions,2005-04-02,Yager,DreamCatcher Interactive,Third Person Shooter,Rated T For Teen,,,PC
Aerial_Knight's Never Yield,5/19/2021,Aerial_Knight,Headup Games,2D Platformer,Rated T For Teen,,,PC
